battery_id,cycle,avg_voltage,avg_temp,max_temp,capacity,RUL
B0047,1,3.4752664759657903,8.272422519178683,12.376815880696888,1.6743047446975208,71
B0047,2,3.4765588189090355,8.210715424489035,11.314903320182369,1.5243662105099023,70
B0047,3,3.4707669643372343,7.954455063989402,11.624528187721143,1.5080762969973425,69
B0047,4,3.4675514337042928,7.985864710265717,11.0929238810592,1.4835577960067696,68
B0047,5,3.4628386272032645,8.009426990342208,11.020979145558456,1.4671391666146525,67
B0047,6,3.4591836330966035,8.033626730077737,11.05909419348262,1.448858156982267,66
B0047,7,3.440865649757287,8.150799939416203,11.877028657628198,1.4458534180949325,65
B0047,8,3.44810227661685,8.230899786348077,11.559250858608888,1.431118266178283,64
B0047,9,3.4496654644975946,8.146945225413083,11.34743713793976,1.4192745516578533,63
B0047,10,3.4449123724079618,8.251894856354932,11.693269060729056,1.3999974221808271,62
B0047,11,3.4418308643708455,8.23497518866995,11.557441727679937,1.3885156686114437,61
B0047,12,3.4344681780842876,8.269239827690175,11.667407771157473,1.3652234669528964,60
B0047,13,3.430115214310407,8.236583239584068,11.311016339650983,1.4060442272970963,59
B0047,14,3.442078085056046,8.16126508624072,11.175603921563273,1.4057541613525781,58
B0047,15,3.4424678812268277,8.25301239256121,11.15023736338702,1.3867662881727878,57
B0047,16,3.4338551425476287,8.291638340695691,11.81131136026599,1.3705053061420223,56
B0047,17,3.4327517306039357,8.318107121376224,11.699803023226297,1.3497431114823601,55
B0047,18,3.4273855541261473,8.303021352537922,11.234017863419322,1.3251533367939783,54
B0047,19,3.4184685184601045,8.32601397527908,11.729632241368254,1.3111943869635805,53
B0047,20,3.6507246573834036,7.192903163731922,8.565277404002732,0,52
B0047,21,3.4156755122328164,8.388106987601862,12.186162994585318,1.3394234405932892,51
B0047,22,3.4189443106786306,8.304841644444155,11.147409475641334,1.2849157142560723,50
B0047,23,3.4147835574863517,8.319029412369582,11.681014963080823,1.281719159327807,49
B0047,24,3.409591730169167,8.401755924951388,11.29683746494969,1.2600051642942829,48
